tweet_from,TweetId
1110963167499374593,1111000079069036544
-1,1110995522473607168
-1,1110994689770090496
1110237529838702595,1110988993376763905
1110960526492721152,1110978982793670656
1110237529838702595,1110977956850094081
0,1110976647505866753
0,1110975797400080386
0,1110971590811021314
1110960526492721152,1110971299130761217
1110237529838702595,1110969068394299392
0,1110968400153665536
1110237529838702595,1110967677881929733
1110960526492721152,1110966310668783616
1110963167499374593,1110964984442482688
-1,1110964913646772225
-1,1110964867970854916
0,1110964452080390144
1110960526492721152,1110964219812425729
0,1110963167499374593
0,1110963141511389184
1110960526492721152,1110962893015666688
1110960526492721152,1110961045919674368
0,1110960526492721152
0,1110960523619827713
-1,1110954797417549824
0,1110954388468703233
0,1110952212342149121
0,1110949172830765057
1110912620352233472,1110948880559099904
-1,1110947852178591746
1110237529838702595,1110941374822658049
0,1110931539087581190
1110237529838702595,1110930945157283842
-1,1110919527221608448
0,1110912620352233472
1110905037503561731,1110912566136586240
0,1110912140771246080
1110905037503561731,1110907939823472641
1110905037503561731,1110905809968476160
1110905037503561731,1110905663792787456
0,1110905037503561731
0,1110904556127424513
0,1110904282071609346
0,1110903755577454593
1110894363926769669,1110900957167136772
-1,1110899606643068929
1110877974927167489,1110899380754804736
0,1110898120920129547
0,1110895725309640704
0,1110894363926769669
0,1110890845325135873
0,1110890256117702657
0,1110890026181840896
0,1110887596752818178
1110237529838702595,1110885632321163264
0,1110880875510710273
-1,1110878410547572738
0,1110878406734942209
0,1110878096977285121
0,1110877974927167489
0,1110877696362467333
0,1110877024405606401
0,1110876809267171333
0,1110876544845651968
0,1110876282621960192
0,1110874771758219265
0,1110874332530651136
0,1110873035442143232
0,1110871333104205824
0,1110870412752314368
1110237529838702595,1110869580300369920
-1,1110868980598755329
-1,1110867752796020736
1110237529838702595,1110865966722965505
1110237529838702595,1110864260907847680
1110237529838702595,1110863267289878531
1110237529838702595,1110862984086257667
0,1110858191049502720
1110237529838702595,1110855388419760129
-1,1110852034755026945
1110237529838702595,1110812091768889347
-1,1110782390367150081
0,1110764719298744320
0,1110761859102240769
1110492200612360192,1110756329797443584
1110237529838702595,1110734012920852481
