FECHA,COVARIADO,PARTICULAR
5/11/2020,Partido,Santa Fé
10/11/2020,Partido,Santa Fé
14/11/2020,Partido,Santa Fé
18/11/2020,Partido,Santa Fé
22/11/2020,Partido,Santa Fé
29/11/2020,Partido,Santa Fé
5/12/2020,Partido,Santa Fé
12/12/2020,Partido,Santa Fé
20/12/2020,Partido,Santa Fé
27/12/2020,Partido,Santa Fé
21/11/2019,Manifestaciones,
22/11/2019,Manifestaciones,
23/11/2019,Manifestaciones,
24/11/2019,Manifestaciones,
25/11/2019,Manifestaciones,
26/11/2019,Manifestaciones,
27/11/2019,Manifestaciones,
28/11/2019,Manifestaciones,
29/11/2019,Manifestaciones,
1/12/2019,Manifestaciones,
2/12/2019,Manifestaciones,
4/12/2019,Manifestaciones,
6/12/2019,Manifestaciones,
7/12/2019,Manifestaciones,
8/12/2019,Manifestaciones,
10/12/2019,Manifestaciones,
13/12/2019,Manifestaciones,
16/12/2019,Manifestaciones,
19/12/2019,Manifestaciones,
23/12/2019,Manifestaciones,
13/01/2020,Manifestaciones,
16/01/2020,Manifestaciones,
21/01/2020,Manifestaciones,
21/02/2020,Manifestaciones,
25/03/2020,Manifestaciones,
9/09/2020,Manifestaciones,
10/09/2020,Manifestaciones,
11/09/2020,Manifestaciones,
12/09/2020,Manifestaciones,
13/09/2020,Manifestaciones,
14/09/2020,Manifestaciones,
15/09/2020,Manifestaciones,
16/09/2020,Manifestaciones,
17/09/2020,Manifestaciones,
18/09/2020,Manifestaciones,
19/09/2020,Manifestaciones,
21/09/2020,Manifestaciones,
22/09/2020,Manifestaciones,
24/09/2020,Manifestaciones,
1/01/2019,Festividad,Año nuevo
7/01/2019,Festividad,Día de reyes
14/02/2019,Festividad,San Valentín
18/04/2019,Festividad,Jueves santo
19/04/2019,Festividad,Viernes santo
8/03/2019,Festividad,Día de la mujer
27/04/2019,Festividad,Día del niño
1/05/2019,Festividad,Día del trabajo
12/05/2019,Festividad,Día de la madre
16/06/2019,Festividad,Día del padre
16/07/2019,Festividad,Día de la virgen del carmen
20/07/2019,Festividad,Día de la Independencia
